"species","sla","ldmc","lnc_m","lpc_m"
"LAMIUM GALEOBDOLON",30.88916667,270,33.60153846,4.512259775
"LAMIUM MACULATUM",33.33384615,193.5,29.79666667,2.54483298
"LARIX DECIDUA",9.470454545,377.5294118,19.97191011,1.789306988
"LASERPITIUM LATIFOLIUM",12.12444444,249.716,25.8875,1.71375
"LATHYRUS PRATENSIS",24.30673469,314.8353846,36.88142857,1.877967488
"LATHYRUS VERNUS",41.255,196.56125,34.93333333,4.48
"LAVANDULA STOECHAS",11.71333333,340,13.936,0.943741111
"LEONTODON CRISPUS",25.32,140,16.58,1.73
"LEONTODON HISPIDUS",26.21357548,142.9550752,22.9345679,1.949192674
"LEONTODON SAXATILIS",20.344,167.5,22.43666667,1.516
"LEPIDIUM DENSIFLORUM",47.89,120,32.005,2.907215592
"LEPIDIUM LATIFOLIUM",15.80666667,163.8525,41.15,2.995
"LEUCANTHEMUM VULGARE",17.95872883,151.513775,20.18369146,1.791537893
"LIGUSTRUM VULGARE",10.95055556,372.7777778,16.19,1.069035354
"LIMONIUM NARBONENSE",10.03170646,204.2918922,29.04149294,1.993995726
"LINARIA VULGARIS",26.45294118,195.0689655,17.89333333,1.46
"LINUM CATHARTICUM",29.77565217,216.6666667,20.29875,1.162325774
"LINUM TENUIFOLIUM",13.8034,330.2972,19.64341913,1.1935
"LINUM USITATISSIMUM",34.82323131,191.2632825,46.33222222,2.5564769
"LOLIUM MULTIFLORUM",27.28423351,236.951672,21.80833333,2.207754569
"LOLIUM PERENNE",25.84059888,224.7029615,27.10214286,3.211599395
"LOLIUM RIGIDUM",26.43222222,230,20.39333333,1.93
"LONICERA PERICLYMENUM",14.17576923,289.4736842,22.532,1.763980239
"LONICERA XYLOSTEUM",24.1075,259.0832864,23.743375,1.367
"LOTUS ANGUSTISSIMUS",31.6,230,26.65,1.25
"LOTUS CORNICULATUS",23.50272918,215.1770033,34.91457389,1.588446198
"LUZULA CAMPESTRIS",25.98456953,236.6519718,23.62777778,1.097462629
"LUZULA PILOSA",25.63166667,250,18.64375,4.266666667
"LUZULA SYLVATICA",16.83,292,18.75,1.95
"LYCOPODIUM ANNOTINUM",18.14,375,10.00615385,1.179935015
"LYCOPODIUM CLAVATUM",21.79,379.555,8.7125,0.836428571
"LYCOPUS EUROPAEUS",24.186,101.25,23.016,1.691466517
"LYSIMACHIA EUROPAEA",37.564375,273.2671429,19.68375,1.540057404
"LYSIMACHIA MARITIMA",16.375,170,19.22875,1.13
"LYSIMACHIA NUMMULARIA",28.75666667,225.0916667,17.1,2.56
"LYSIMACHIA TENELLA",34.1725,130,7.04,0.68
"LYSIMACHIA VULGARIS",26.83826087,222.55,25.459,2.177339949
"LYTHRUM SALICARIA",17.80125,290.0405263,22.26375,1.500383916
"MAIANTHEMUM BIFOLIUM",33.052,237.43,32.575,3.166666667
