"species","sla","plant_height","seed_mass","ldmc","leaf_area","lnc_m","lpc_m","lnc_a","vcmax"
"QUERCUS RUBRA",14.89921875,30.14588235,3247.911667,392.5,6049.307826,21.08047619,1.627355636,1.414871246,372.0590703
"QUERCUS SUBER",6.803,18.75,3684.822222,NA,703.3,16.00026087,1.088070423,2.351941918,618.474173
"RADIOLA LINOIDES",36.13666667,0.061111111,0.041428571,226.8525,3.22,NA,NA,NA,NA
"RANUNCULUS",29.04,0.1,0.1,250,278.936875,30.235,4.13,1.041150138,273.7841719
"RANUNCULUS ACONITIFOLIUS",30.25333333,0.37,4.63,103.3325,26279.5,25.62,NA,0.846848832,222.6900788
"RANUNCULUS ACRIS",20.96605443,0.45248172,1.569016393,203.8333465,1325.842381,24.87660999,2.575136251,1.18651843,312.0106832
"RANUNCULUS ALPESTRIS",NA,0.1025,NA,NA,NA,NA,NA,NA,NA
"RANUNCULUS AQUATILIS",30.02125,0.418,0.304,116,143.3,NA,NA,NA,NA
"RANUNCULUS ARVENSIS",27.39666667,0.465,12.63071429,134.5,576,NA,NA,NA,NA
"RANUNCULUS AURICOMUS",27.40545455,0.385,1.863333333,176.875,1276.5,NA,NA,NA,NA
"RANUNCULUS BAUDOTII",NA,NA,0.206666667,NA,NA,NA,NA,NA,NA
"RANUNCULUS BREYNINUS",16.2,0.197727273,1.13,175.5392798,1316.228333,23.81654429,NA,1.470157055,386.5972036
"RANUNCULUS BULBOSUS",19.44641741,0.200776667,2.337413793,184.6901263,870.7530833,28.01966667,2.279812286,1.440865229,378.8945313
"RANUNCULUS CARINTHIACUS",NA,0.1225,NA,NA,NA,NA,NA,NA,NA
"RANUNCULUS CIRCINATUS",38.46666667,3,0.145,126.6666667,53.74,NA,NA,NA,NA
"RANUNCULUS FICARIA",32.64266667,0.183333333,2.428,110.8333333,673.5,29.6375,4.433333333,0.907937464,238.754141
"RANUNCULUS FLAMMULA",17.19692308,0.373333333,0.460714286,171.5816667,584.43,NA,NA,NA,NA
"RANUNCULUS FLUITANS",19.01,2.016666667,0.56,100,655,NA,NA,NA,NA
"RANUNCULUS GLACIALIS",14.12,0.067391304,NA,157.6074745,NA,24.37309088,NA,1.726139581,453.9111879
"RANUNCULUS GRAMINEUS",12.88967778,0.065283267,1.15249,303.2054111,1.51420303,21.98751079,1.89124,1.705823153,448.5687149
"RANUNCULUS HEDERACEUS",32.58,0.325,NA,110,99,NA,NA,NA,NA
"RANUNCULUS LANUGINOSUS",NA,0.555,2.85,152.61,5917.375,NA,NA,NA,NA
"RANUNCULUS LINGUA",13.32,1.062222222,2.452222222,192.83,2416.75,NA,NA,NA,NA
"RANUNCULUS MONTANUS",19.06666667,0.1975,NA,178.7,NA,27.6,1.93,1.447552448,380.6530238
"RANUNCULUS MURICATUS",NA,0.2,11.58,NA,NA,NA,NA,NA,NA
"RANUNCULUS OMIOPHYLLUS",NA,0.093333333,0.24,NA,NA,NA,NA,NA,NA
"RANUNCULUS OPHIOGLOSSIFOLIUS",NA,0.175,0.45,NA,NA,NA,NA,NA,NA
"RANUNCULUS PALUDOSUS",NA,NA,0.235714286,NA,NA,NA,NA,NA,NA
"RANUNCULUS PARNASSIFOLIUS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"RANUNCULUS PARVIFLORUS",NA,0.175,1.172,NA,675,NA,NA,NA,NA
"RANUNCULUS PELTATUS",44.80625,0.058,0.411666667,99.5225,245.078,NA,NA,NA,NA
"RANUNCULUS PENICILLATUS",37.825,0.02,0.385,110,40.2,43.5,4.01,1.150033047,302.4163701
"RANUNCULUS PLATANIFOLIUS",20.075,0.791666667,1.25,148.255,8769.303333,NA,NA,NA,NA
"RANUNCULUS POLYANTHEMOIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA
"RANUNCULUS POLYANTHEMOS",21.71166667,0.63,3.0925,230,4438,NA,NA,NA,NA
"RANUNCULUS REPENS",24.48909091,0.336,2.192,169.4535,1783.685714,23.69461538,2.994998135,0.967557982,254.4321432
"RANUNCULUS REPTANS",13.6,0.185,0.375,211.15,53,NA,NA,NA,NA
"RANUNCULUS RIONII",30,NA,NA,NA,NA,NA,NA,NA,NA
"RANUNCULUS SARDOUS",25.81733497,0.227142857,1.28875,114.8404453,442.1666667,21.34555556,NA,0.826791595,217.4157635
"RANUNCULUS SCELERATUS",31.144,0.487,0.131111111,120,1115.375,NA,NA,NA,NA
"RANUNCULUS SERPENS",25.705,0.435,NA,157.305,2951,NA,NA,NA,NA
"RANUNCULUS THORA",NA,NA,2.46,NA,NA,NA,NA,NA,NA
"RANUNCULUS TRICHOPHYLLUS",33.036,0.8,0.321428571,159.2683333,150.5,NA,NA,NA,NA
"RANUNCULUS TRIPARTITUS",NA,0.2325,NA,NA,NA,NA,NA,NA,NA
"RANUNCULUS TUBEROSUS",18.59,0.453,1.188,196.895,NA,26.69333333,NA,1.435897436,377.5881846
"RAPHANUS RAPHANISTRUM",26.02363636,0.43,24.08,122,6127.333333,NA,NA,NA,NA
"RESEDA LUTEA",17.93142857,0.49,0.805882353,152.6666667,1090,NA,NA,NA,NA
"RESEDA LUTEOLA",19.43875,0.89,0.271428571,164.42875,1097.125,NA,NA,NA,NA
"RESEDA PHYTEUMA",16.1,0.23,1.74,NA,NA,NA,NA,NA,NA
"REYNOUTRIA JAPONICA",16.81625,2.27,1.777777778,261,13629.66667,23.01,1.878389073,1.368319334,359.8176307
"REYNOUTRIA SACHALINENSIS",NA,3.5,0.58,161,51200,NA,NA,NA,NA
"RHAGADIOLUS STELLATUS",NA,NA,1.43,NA,NA,NA,NA,NA,NA
"RHAMNUS ALATERNUS",6.61,4.5,48.9125,NA,136.4,24.59166667,1.358,3.720373172,978.3212345
"RHAMNUS ALPINA",21.555,1.67,NA,272.4347488,1012.52,27.9183178,1.736666667,1.295213073,340.5933744
"RHAMNUS CATHARTICA",17.079,4.654,29.038125,306.25,648.4970588,27.535,1.699535795,1.61221383,423.9529078
"RHAMNUS PUMILA",NA,0.16,NA,NA,NA,NA,NA,NA,NA
"RHAMNUS SAXATILIS",13.5,0.8,10.53,NA,NA,NA,NA,NA,NA
"RHAPONTICUM CONIFERUM",8.44,0.35,6.8025,NA,1902.4,NA,NA,NA,NA
"RHAPONTICUM CYNAROIDES",NA,NA,NA,NA,675,24.37666667,1.843333333,NA,NA
"RHAPONTICUM SCARIOSUM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHINANTHUS ALECTOROLOPHUS",19.3395,0.49253125,3.126666667,210.2386,NA,28.38333333,2.44675,1.467635323,385.934081
"RHINANTHUS ANGUSTIFOLIUS",20.27,0.5,2.3435,NA,277.125,NA,NA,NA,NA
"RHINANTHUS GLACIALIS",22.53,0.461666667,2.605,NA,NA,35.15,NA,1.560142033,410.2599414
"RHINANTHUS MINOR",19.93278829,0.372462222,2.545424242,169.0267833,207.4811111,36.46465186,8.955106621,1.829380382,481.0597192
"RHINANTHUS PUMILUS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHODIOLA ROSEA",26.62375,0.217142857,0.214,100.9833333,119.598,31.208,NA,1.172186488,308.2419098
"RHODODENDRON FERRUGINEUM",11.64,1.2,0.03,370,NA,NA,NA,NA,NA
"RHUS CORIARIA",10.545,1.96,12.68666667,NA,NA,NA,NA,NA,NA
"RHYNCHOSPORA ALBA",16.68,0.395,0.430714286,331.695,288,13.09,0.59091,0.784772182,206.3662043
"RHYNCHOSPORA FUSCA",12.58,0.237777778,0.525714286,305.8175,208.875,NA,NA,NA,NA
"RIBES ALPINUM",16.385,1.578,4.54,NA,580.61,18.8,1.41,1.147390906,301.7215844
"RIBES NIGRUM",16.333125,1.683333333,31.96,339.5,5660.33,18.4625,1.802827941,1.130371561,297.2461228
"RIBES PETRAEUM",NA,1.8,3.536666667,NA,NA,NA,NA,NA,NA
"RIBES RUBRUM",23.79777778,1.548333333,3.7,264.6125,4359.9275,23.42,1.325832208,0.984125502,258.7887912
"RIBES UVA-CRISPA",16.58923077,1.035294118,4.1675,267.142,1272.682353,22.005625,1.753138709,1.326500626,348.8208494
"RICINUS COMMUNIS",NA,4.75,320.7375,NA,NA,39.2,2.8,NA,NA
"ROBINIA PSEUDOACACIA",20.49783784,24.62190476,19.36733333,326,884.5894737,35.64625,1.641226825,1.739024881,457.2995475
"ROEGNERIA CANINA",27.84666667,0.956153846,4.838461538,305,1156.5,38,2.2,1.364615753,358.8437252
"ROEMERIA HYBRIDA",NA,NA,0.204,NA,NA,NA,NA,NA,NA
"RORIPPA AMPHIBIA",30.16,0.867142857,0.094444444,110,12853,NA,NA,NA,NA
"RORIPPA AUSTRIACA",NA,0.845714286,0.04,NA,NA,NA,NA,NA,NA
"RORIPPA PALUSTRIS",35.2925,0.433846154,0.058333333,107.4021429,2167.987143,NA,NA,NA,NA
"RORIPPA PYRENAICA",NA,0.2925,NA,NA,NA,NA,NA,NA,NA
"RORIPPA SYLVESTRIS",35.4125,0.38875,0.093333333,100,1154.333333,NA,NA,NA,NA
"ROSA",17.65888889,0.625,15.7,395.5555556,1407.533333,NA,NA,NA,NA
"ROSA AGRESTIS",10.26,1.642857143,18.85222222,374.3025,337.65,NA,NA,NA,NA
"ROSA ARVENSIS",22.22745763,1.763333333,11.89333333,338.6153846,314.3825,23.16166667,2.099665051,1.042029505,274.0154131
"ROSA CAESIA",12.386,1.8525,18.29583333,575,1577.63,NA,NA,NA,NA
"ROSA CANINA",14.66266667,2.259473684,15.4740625,345,1751.172857,25.26,2.926666667,1.722742566,453.017898
"ROSA CORIIFOLIA",NA,NA,NA,NA,NA,20.4,1.28,NA,NA
"ROSA CORYMBIFERA",NA,2.083333333,NA,NA,NA,NA,NA,NA,NA
"ROSA ELLIPTICA",12.06,2.166666667,19.24,397.26,1056.5,NA,NA,NA,NA
"ROSA FERRUGINEA",NA,NA,16,NA,NA,NA,NA,NA,NA
"ROSA GALLICA",NA,1.22,24.22666667,NA,NA,NA,NA,NA,NA
"ROSA MAJALIS",18.31,1.361818182,21.64,NA,987.41,NA,NA,NA,NA
"ROSA OBTUSIFOLIA",NA,1.45,NA,NA,NA,NA,NA,NA,NA
"ROSA PENDULINA",22.18,1.625,NA,334.945,2234,NA,NA,NA,NA
"ROSA PIMPINELLIFOLIA",25.27777778,1.148,15.87,338.3712837,1344,33.36874505,NA,1.320082222,347.1330453
"ROSA POUZINII",12.2,2.148333333,17.02230769,385,770,19.02,NA,1.559016393,409.9639397
"ROSA RUBIGINOSA",11.825,2.328,14.45076923,448.885,917.285,NA,NA,NA,NA
"ROSA SEMPERVIRENS",NA,NA,12.07,NA,NA,NA,NA,NA,NA
"ROSA STYLOSA",NA,2.285714286,7.62,NA,NA,NA,NA,NA,NA
"ROSA TOMENTOSA",10.84,1.65,10.46,NA,1420.95,NA,NA,NA,NA
"ROSA TRACHYPHYLLA",22.86,1.75,20.7725,410,2134.4,NA,NA,NA,NA
"ROSA VILLOSA",14.6,1.7,15.1225,NA,NA,22.5,NA,1.54109589,405.2515068
"ROSA VOSAGIACA",12.46,2.56375,10.67,NA,317.5,NA,NA,NA,NA
"ROSA X DUMALIS",12.16,1.785,15.76,NA,283.8633333,20.3,1.378,1.669407895,438.9928421
"ROSA X DUMETORUM",NA,NA,19.98,NA,NA,NA,NA,NA,NA
"ROSMARINUS OFFICINALIS",5.945,1.609090909,0.864166667,NA,37.44333333,12.02578947,0.766666667,2.022840954,531.9327305
"ROSTRARIA CRISTATA",NA,NA,0.1134,NA,NA,NA,NA,NA,NA
"RUBIA PEREGRINA",14.91208333,0.475305556,20.88153846,212.1153846,222.5,15.98714286,1.866666667,1.072093181,281.9210536
"RUBIA TINCTORUM",17.92,0.9,19.2,170,590,NA,NA,NA,NA
"RUBUS",22.78848485,0.338571429,2.76,343.8461538,4153.77,21.75956522,1.4,0.954849143,251.090186
"RUBUS BIFRONS",NA,1.25,NA,NA,NA,NA,NA,NA,NA
"RUBUS CAESIUS",23.2878125,0.48690625,2.930625,367,5736.839231,20.94041667,1.689703894,0.899200673,236.4566863
"RUBUS CANESCENS",NA,0.875,3.89,NA,NA,27.5,1.6,NA,NA
"RUBUS DISCOLOR",NA,1.5,5.23,NA,NA,NA,NA,NA,NA
"RUBUS DIVARICATUS",NA,1.4,NA,NA,NA,NA,NA,NA,NA
"RUBUS EGREGIUS",NA,NA,2.62,NA,NA,NA,NA,NA,NA
"RUBUS FRUTICOSUS",15.70881579,1.7856,2.452857143,347.3653846,1932.362857,25.28176471,1.846654435,1.609399782,423.2129167
"RUBUS HIRTUS",NA,0.25,2.3,NA,NA,NA,NA,NA,NA
"RUBUS IDAEUS",22.08829268,1.2805,1.808611111,359.4208,2749.04,23.78705882,2.14,1.076907988,283.1871705
"RUBUS KOEHLERI",NA,0.825,NA,NA,NA,NA,NA,NA,NA
"RUBUS MACROPHYLLUS",NA,1.46,NA,NA,NA,NA,NA,NA,NA
"RUBUS MONTANUS",14.44,2.328571429,2.735555556,NA,NA,19.65,1.247634386,1.360803324,357.8411967
"RUBUS NESSENSIS",NA,1.7,NA,NA,NA,NA,NA,NA,NA
"RUBUS PRAECOX",NA,NA,3.03,NA,NA,NA,NA,NA,NA
"RUBUS PRUINOSUS",19.70222222,0.757142857,2.22,280,10342.125,17.92,1.900718853,0.909542071,239.1760935
"RUBUS RADULA",NA,0.86,NA,NA,NA,NA,NA,NA,NA
"RUBUS SAXATILIS",27.19235294,0.234285714,9.992142857,328.2857143,5183.8575,19.31,4.441007849,0.710126117,186.7370361
"RUBUS SCABER",NA,0.25,NA,NA,NA,NA,NA,NA,NA
"RUBUS SILVATICUS",NA,0.49,NA,NA,NA,NA,NA,NA,NA
"RUBUS SPECTABILIS",NA,3.325,3.1825,NA,NA,NA,NA,NA,NA
"RUBUS ULMIFOLIUS",12.936,1.89875,2.625,NA,982.5266667,27.86666667,4.515,2.154195011,566.4740136
"WOODSIA ILVENSIS",NA,0.175,NA,NA,NA,NA,NA,NA,NA
"RUBUS VESTITUS",NA,2.3,2.23,NA,NA,21.6875,1.453333333,NA,NA
"RUDBECKIA HIRTA",17.35851852,0.635625,0.474705882,205.8333333,502.4327273,21.4,NA,1.232824102,324.1873708
"RUMEX",NA,NA,1.2,NA,4148,NA,NA,NA,NA
"RUMEX ACETOSA",27.89212751,0.544576,0.73754717,115.2429686,1999.71,35.43572917,3.511776558,1.270456302,334.0832546
"RUMEX ACETOSELLA",22.18534483,0.206829268,0.3895,120.9490323,187.2364286,30.10529412,2.386003914,1.356990137,356.8384688
"RUMEX ALPINUS",17.3825,0.7875,NA,156.6666667,41634.85667,53.235,NA,3.062562922,805.3413463
"RUMEX AQUATICUS",24.315,1.25,2.111666667,140,22028.25,35.52,NA,1.46082665,384.1436506
"RUMEX ARIFOLIUS",33.9675,0.43,0.76,117.1428571,5353.843333,44.8175,NA,1.319422978,346.9596884
"RUMEX BUCEPHALOPHORUS",NA,0.03,0.813333333,NA,NA,NA,NA,NA,NA
"RUMEX CONGLOMERATUS",22.00666667,0.725,1.29,174.5,4190,NA,NA,NA,NA
"RUMEX CRISPUS",19.47192308,0.958684211,1.677741935,147.3333333,3874.255882,29.75333333,3.538614959,1.528012062,401.8109415
"RUMEX HYDROLAPATHUM",22.455,1.594444444,2.661,148.0025,37973.325,NA,NA,NA,NA
"RUMEX LONGIFOLIUS",NA,1.035714286,1.384444444,NA,NA,NA,NA,NA,NA
"RUMEX MARITIMUS",30.325,0.542857143,0.241428571,135.7,5718,NA,NA,NA,NA
"RUMEX OBTUSIFOLIUS",27.41731956,0.816756731,1.404608696,154.2965476,29273.58333,36.122,4.138255138,1.317488382,346.450961
"RUMEX PALUSTRIS",23.535,0.71375,0.84,175,1825.125,NA,NA,NA,NA
"RUMEX PATIENTIA",NA,1.157142857,1.9,NA,NA,NA,NA,NA,NA
"RUMEX PULCHER",NA,0.32,2.171666667,NA,NA,NA,NA,NA,NA
"RUMEX ROSEUS",NA,NA,0.75,NA,NA,12.43333333,0.366666667,NA,NA
"RUMEX RUPESTRIS",NA,0.7,1.643333333,NA,NA,NA,NA,NA,NA
"RUMEX SANGUINEUS",25.01666667,0.7775,1.002666667,201,4734,NA,NA,NA,NA
"RUMEX SCUTATUS",NA,0.34,1.285,NA,675,NA,NA,NA,NA
"RUMEX THYRSIFLORUS",20.43,0.853333333,0.705,125,2751.25,NA,NA,NA,NA
"RUMEX THYRSOIDES",NA,NA,1.07,NA,NA,NA,NA,NA,NA
"RUPPIA CIRRHOSA",42.69,0.45,NA,190,47.5,NA,NA,NA,NA
"RUPPIA MARITIMA",50.52,0.303333333,NA,180,41,NA,NA,NA,NA
"RUSCUS ACULEATUS",17.22888889,1,187.77,244,NA,26.89,NA,1.560750677,410.4199925
"RUTA ANGUSTIFOLIA",NA,0.4,0.75,NA,NA,NA,NA,NA,NA
"RUTA CHALEPENSIS",NA,NA,1.35,NA,NA,NA,NA,NA,NA
"RUTA GRAVEOLENS",NA,0.484,2.03375,NA,NA,NA,NA,NA,NA
"RUTA MONTANA",NA,NA,1.11,NA,NA,NA,NA,NA,NA
"SAGINA APETALA",20.89166667,0.091666667,0.010756667,237.6666667,4.6075,NA,NA,NA,NA
"SAGINA MARITIMA",14.295,0.078333333,0.078181818,190,4,NA,NA,NA,NA
"SAGINA NODOSA",13.306,0.09875,0.03375,235,12.48333333,NA,NA,NA,NA
"SAGINA PROCUMBENS",19.72142857,0.084545455,0.014095238,184,8,15.97,2.4405,0.809779066,212.9420944
"SAGINA SAGINOIDES",NA,0.048571429,0.037333333,NA,NA,NA,NA,NA,NA
"SAGINA SUBULATA",NA,0.06,0.024444444,NA,NA,NA,NA,NA,NA
"SAGITTARIA SAGITTIFOLIA",21.10777778,0.656666667,1.426666667,102.396,6404.9,NA,NA,NA,NA
"SALICORNIA APPRESSA",NA,0.12,0.24,NA,NA,NA,NA,NA,NA
"SALICORNIA EMERICII",NA,0.1,NA,NA,NA,NA,NA,NA,NA
"SALIX",15.674,NA,NA,NA,523.595,21.94708861,1.772975667,1.400222573,368.2070085
"SALIX ALBA",11.86285714,24.4315,0.12,295.3375,691.0625,25.63,2.492531973,2.160525048,568.1385803
"SALIX APPENDICULATA",18.275,7.25,0.13,324.675,1293.705,NA,NA,NA,NA
"SALIX ARENARIA",NA,NA,NA,NA,NA,14.22823529,NA,NA,NA
"SALIX ATROCINEREA",9.79,NA,NA,NA,NA,22.9,NA,2.339121553,615.1028887
"SALIX AURITA",11.116,2.143636364,NA,NA,558.32,22.9725,1.714,2.066615689,543.4438748
"SALIX BABYLONICA",NA,9.416666667,NA,NA,NA,26.4,2.67,NA,NA
"SALIX BREVISERRATA",NA,0.235,0.11,NA,NA,NA,NA,NA,NA
"SALIX CAESIA",15.29,0.438333333,NA,NA,66,NA,NA,NA,NA
"SALIX CAPREA",14.45739726,8.742307692,0.0875,333.2363636,2571.068824,25.47421053,2.021086749,1.762019129,463.3461886
"SALIX CINEREA",11.305,4.964615385,0.073333333,430.3875,773.532,19.83166667,1.481610666,1.754238538,461.3001794
"SALIX DAPHNOIDES",11.13,6.105862069,0.14,326.8918124,590,23.889075,1.55,2.146367924,564.4157778
"SALIX ELEAGNOS",NA,3.3612,0.25,318.0711504,NA,31.88726564,NA,NA,NA
"SALIX FRAGILIS",10.53,11.891,0.13,NA,470,27.07,2.286018778,2.570750237,676.0127088
"SALIX GLAUCOSERICEA",11.322,0.712222222,0.276,360,449.015,23.0225,2.604166667,2.033430489,534.7173884
"SALIX HASTATA",NA,0.594444444,0.17,NA,NA,23.84285714,1.568,NA,NA
"SALIX HERBACEA",14.71928571,0.029285714,0.163846154,423.6100493,105.5173077,25.0365,2.092666667,1.700931722,447.2824487
"SALIX LAPPONUM",11.39454545,0.743,0.2125,365,345.8036364,27.1285,1.716406403,2.380832137,626.0712373
"SALIX MYRSINIFOLIA",11.2725,2.9,NA,NA,188.4925,18.025,1.316666667,1.599024174,420.4845136
"SALIX PENTANDRA",17.735,10.63470588,0.144444444,249.795,1315,29.33,1.68,1.653791937,434.8864198
"SALIX PHYLICIFOLIA",11.2825,2.696,NA,360,849.8,24.3108,1.451910401,2.154735209,566.6160658
"SALIX PURPUREA",10.48666667,3.867692308,0.09,NA,130,24.37,2.492531973,2.323903369,611.1010665
"SALIX REPENS",11.94206897,0.661052632,0.13,389.10875,150.9983333,17,0.668090257,1.423538924,374.3383507
"SALIX RETICULATA",9.255,0.091875,0.122,373.5920226,217.7815385,18.21818182,0.976666667,1.968469132,517.6349421
"SALIX RETUSA",NA,0.25,NA,298.074965,NA,NA,NA,NA,NA
"SALIX SERPYLLIFOLIA",NA,0.175,0.26,NA,NA,NA,NA,NA,NA
"SALIX TRIANDRA",12.48875,3.690909091,0.02,388.66,694.16,25.185,2.829625041,2.016614953,530.2955213
"SALIX VIMINALIS",13.95833333,4.663636364,NA,NA,384.75,24.40666667,2,1.748537313,459.8009673
"SALSOLA KALI",5.247857143,0.518,4.681538462,95,18.278,33.194,2.654827921,6.325248401,1663.30756
"SALSOLA SODA",NA,NA,14.62,NA,NA,NA,NA,NA,NA
"SALVIA AETHIOPIS",NA,NA,1.960909091,NA,NA,NA,NA,NA,NA
"SALVIA GLUTINOSA",53.62,0.664,3.854285714,101.86,11482.75,NA,NA,NA,NA
"SALVIA LAVANDULIFOLIA",NA,0.5,3.2,NA,174.1,NA,NA,NA,NA
"SALVIA NEMOROSA",23.14,0.55,1.016666667,170,1505,NA,NA,NA,NA
"SALVIA OFFICINALIS",18.93666667,0.584,7.55,237.5566667,916.8333333,NA,NA,NA,NA
"SALVIA PRATENSIS",15.8858125,0.272444316,2.089636889,199.4761538,6898.576667,24.62333333,1.771136364,1.550020393,407.5983226
"SALVIA SCLAREA",35.705,0.09,4.4,NA,4360,NA,NA,NA,NA
"SALVIA VERBENACA",11.94,0.491666667,1.9125,NA,13333,NA,NA,NA,NA
"SALVIA VERTICILLATA",13.3025,0.438571429,1.001818182,220,2223,NA,NA,NA,NA
"SALVIA VIRIDIS",26.535,0.18,2.433333333,NA,461.6,NA,NA,NA,NA
"SAMBUCUS",NA,NA,NA,NA,1847,NA,NA,NA,NA
"SAMBUCUS EBULUS",21.26,1.2625,14.54125,172.0325,18801.25,NA,NA,NA,NA
"SAMBUCUS NIGRA",20.1384,6.640217391,4.9235,244.7323944,1077.366944,34.14285714,2.638919954,1.695410616,445.8306008
"SAMBUCUS RACEMOSA",22.34333333,3.886428571,1.882857143,175.0375,2626.8125,53.26666667,2.8,2.384007161,626.9061519
"SAMOLUS VALERANDI",23.385,0.314444444,0.024285714,169.605,291.9666667,20.28235294,1.750183183,0.867323196,228.0740831
"SANGUISORBA MINOR",17.68934781,0.253235405,5.225836207,294.9453574,50.55081282,21.98457317,1.779290615,1.242814229,326.8144068
"SANGUISORBA OFFICINALIS",22.69705882,0.823636364,2.186296296,269.21,485.45,20.794,1.52,0.916153946,240.9147733
"SANICULA EUROPAEA",32.91833333,0.34,2.925555556,194,2716.5,NA,NA,NA,NA
"SANTOLINA MARCHII",18.43666667,0.558333333,0.29,NA,10.08,50.9,7.72,2.760802748,725.9895252
"SAPONARIA OCYMOIDES",NA,0.244,2.546666667,NA,NA,NA,NA,NA,NA
"SAPONARIA OFFICINALIS",23.352,0.643636364,1.617142857,197.25,2165.5,NA,NA,NA,NA
"SARCOCORNIA PERENNIS",NA,0.25,4.8525,NA,NA,NA,NA,NA,NA
"SATUREJA HORTENSIS",27.36,0.198571429,0.518333333,146.825,56,NA,NA,NA,NA
"SATUREJA MONTANA",17.6,0.416666667,NA,NA,30.7,NA,NA,NA,NA
"SAUSSUREA ALPINA",16.95333333,0.191818182,1.464285714,193.3333333,622.7863158,19.54,1.227555316,1.152575698,303.0849938
"SAUSSUREA DISCOLOR",NA,0.2375,NA,NA,NA,NA,NA,NA,NA
"SAXIFRAGA AIZOIDES",14.52,0.111111111,0.05,163.2316667,27.165,NA,NA,NA,NA
"SAXIFRAGA ANDROSACEA",NA,0.05,NA,NA,NA,NA,NA,NA,NA
"SAXIFRAGA AQUATICA",NA,NA,0.03,NA,NA,NA,NA,NA,NA
"SAXIFRAGA ARETIOIDES",NA,NA,0.04,NA,NA,NA,NA,NA,NA
"SAXIFRAGA ASPERA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAXIFRAGA BIFLORA",NA,0.195,NA,NA,NA,NA,NA,NA,NA
"SAXIFRAGA BRYOIDES",18.76666667,0.0425,0.03,NA,NA,NA,NA,NA,NA
"SAXIFRAGA CAESIA",NA,0.055,0.03,NA,NA,NA,NA,NA,NA
"SAXIFRAGA COTYLEDON",8.18,NA,NA,195.24,261.12,NA,NA,NA,NA
"SAXIFRAGA CUNEIFOLIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAXIFRAGA EXARATA",NA,0.01,NA,NA,NA,NA,NA,NA,NA
"SAXIFRAGA GRANULATA",27.47461538,0.2675,0.032857143,139.5714286,363.058,NA,NA,NA,NA
"SAXIFRAGA HIRCULUS",11.6,0.22,0.09,NA,247.5,NA,NA,NA,NA
"SAXIFRAGA HIRSUTA",NA,0.2325,NA,NA,NA,NA,NA,NA,NA
"SAXIFRAGA HYPNOIDES",18.79857143,0.107142857,0.039375,152,9.666666667,NA,NA,NA,NA
"SAXIFRAGA MOSCHATA",24.7,0.06,0.04,NA,NA,NA,NA,NA,NA
"SAXIFRAGA MUTATA",NA,0.1525,0.024,NA,NA,NA,NA,NA,NA
"SAXIFRAGA OPPOSITIFOLIA",16.8,0.195,0.106875,NA,NA,NA,NA,NA,NA
"SAXIFRAGA PANICULATA",8.61,0.1525,0.06,242.265,76,NA,NA,NA,NA
"SAXIFRAGA ROTUNDIFOLIA",NA,0.405,0.026666667,NA,NA,NA,NA,NA,NA
"SAXIFRAGA STELLARIS",23.2,0.088,0.03125,150,31.47,NA,NA,NA,NA
"SAXIFRAGA TRIDACTYLITES",17.3925,0.106363636,0.009857143,115.5575,38,NA,NA,NA,NA
"SCABIOSA ATROPURPUREA",12.225,0.73,2.248571429,194,946.75,27.40666667,NA,2.241854124,589.5251344
"SCABIOSA CANESCENS",9.84,0.37,1.006666667,210.46,307.5,NA,NA,NA,NA
"SCABIOSA COLUMBARIA",17.75701769,0.452483871,1.738454545,181.2544449,5293.333333,21.54833334,1.678823237,1.213510834,319.108692
"SCABIOSA LUCIDA",14.68,0.41375,1.53,NA,NA,20.34,NA,1.385558583,364.3509188
"SCANDIX AUSTRALIS",NA,NA,5.27,NA,NA,NA,NA,NA,NA
"SCANDIX PECTEN-VENERIS",16.856,0.258571429,15.37,124.035,835.77,NA,NA,NA,NA
"SCANDIX STELLATA",NA,NA,1.58,NA,NA,NA,NA,NA,NA
"SCHEUCHZERIA PALUSTRIS",9.775,0.18,7.2,283.14,617.275,NA,NA,NA,NA
"SCHISMUS BARBATUS",18.21,0.25,0.0462,NA,67,NA,NA,NA,NA
"SCHOENOPLECTUS LACUSTRIS",14.77833333,2.566666667,1.839230769,156.6666667,2685.166667,17,0.3,1.150332694,302.4951663
"SCHOENOPLECTUS LITORALIS",NA,NA,0.938,NA,NA,NA,NA,NA,NA
"SCHOENOPLECTUS MUCRONATUS",NA,0.875,0.9,NA,NA,NA,NA,NA,NA
"SCHOENOPLECTUS PUNGENS",NA,0.731666667,2.158333333,NA,NA,12.1,1.58,NA,NA
"SCHOENOPLECTUS SUPINUS",NA,0.125,NA,NA,NA,NA,NA,NA,NA
"SCHOENOPLECTUS TABERNAEMONTANI",NA,2.1225,1.54,NA,NA,36.48333333,4.596666667,NA,NA
"SCHOENOPLECTUS TRIQUETER",6.8,1.018571429,1.335,140,2299,NA,NA,NA,NA
"SCHOENUS FERRUGINEUS",8.6875,0.26,0.21,309.1425,98.95,NA,NA,NA,NA
